,tweet_date,tweet_id,text,user_id,username,userLocation,followersCount,friendsCount,statusesCount,favouriteCount,verified
23,Thu Dec 13 00:14:07 +0000 2018,1073008124594860033,"RT @BR_NBA: Nike x NBA announce new ""Earned"" edition uniforms for all 16 teams who made the 2018 Playoffs https://t.co/VphtMzPCgg",1059284088694034432,chriss 💤,"California, USA",82,170,44,86,False
24,Thu Dec 13 00:14:07 +0000 2018,1073008125920321536,Check out  Inter Milan Nike Home Stadium Soccer Jersey  Boys Large Used  #Nike #InterMilan https://t.co/vy7sXXyjaL via @eBay,15744226,NEILSHOTDEALS,Islip New York,1848,2600,43472,11753,False
25,Thu Dec 13 00:14:09 +0000 2018,1073008133335904256,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,501168269,Daniel,H-Town,333,113,64581,17529,False
26,Thu Dec 13 00:14:08 +0000 2018,1073008130559229955,i kinda sensed something was wrong last night bc everyone was in their gear and then noam was just in his nike https://t.co/LxzF3JAowM,2734390901,ً,110318 | 021218. ,4804,1495,111175,121700,False
27,Thu Dec 13 00:14:11 +0000 2018,1073008142366187520,parece uma bota ortopédica,2966502988,Procurando Emprego,"Rio de Janeiro, Brasil",1112,989,53304,37839,False
28,Thu Dec 13 00:14:11 +0000 2018,1073008143729377280,"RT @nabucodonosor96: aí. vou ter q mandar a real p vcs esses tênis aí da Nike, Balenciaga e da empresa lá do Kanye West q vcs gosta: não te…",4719159567,Mari Ana,"Rio de Janeiro, Brasil",113,74,8198,6367,False
29,Thu Dec 13 00:14:11 +0000 2018,1073008144320729088,"marca favorita. — adidas
puma
nike https://t.co/NhenDy9FKq",1004077307772928003,celynha,"Vila Velha, Brasil",277,649,3746,1972,False
30,Thu Dec 13 00:14:11 +0000 2018,1073008145042042880,RT @fullress: 【プレゼント 各1名】ナイキ エア ジョーダン/アディダス オリジナルス イージーブースト (NIKE AIR JORDAN/adidas Originals YEEZY BOOST) https://t.co/bduAKpygPr https://…,886824122101018624,akaneppi_2525,福岡 糸島市,40,112,1113,942,False
31,Thu Dec 13 00:14:13 +0000 2018,1073008149915938818,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,589733160,:),楽しいわ楽しいだよ,196,828,20364,84029,False
32,Thu Dec 13 00:14:15 +0000 2018,1073008158317137920,RT @brkicks: .@KyrieIrving will wear the player exclusive Nike Kyrie 5 “Neon Blends” tonight against the Wizards. https://t.co/sKXv4JyLZA,379279528,Keon,Datway,644,93,78761,426,False
